citation,doc_count,doc_count_case,doc_count_research,total_hits,top_issues,sample_context
Inc. v. Rivera | 379 S.W.3d 267,14,8,6,27,notice;temporary_orders;lockout_eviction;fraud_perjury;federal_court,"CASE DOCS\04.21.2025_02-25-00166-CV - EN BANC VOID ORDER-1.pdf | In PNS Stores, Inc. v. Rivera 379 S.W.3d 267, 27173 (Tex. 2012) the Texas"
Heinrich v. Waiting | 668 F.3d 393,14,0,14,24,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent--The-Plaintiff-alleged-a-series-of-acts-spanning-from-December-2023-through-May-2025--including-wire-1.pdf | Heinrich v. Waiting Angels Adoption Servs., Inc., 668 F.3d 393 (6th Cir."
In re Thompson | 330 S.W.3d 411,14,1,13,20,recusal;associate_judge;appeal;mandamus;jurisdiction,"CASE DOCS\05.27.25 - MANDAMUS CAYCE_5ACD0433.pdf | demonstrated in In re Thompson, 330 S.W.3d 411 (Tex. App. 2010) and In re Amir-"
Armstrong v. Manzo | 380 U.S. 545,14,1,13,15,due_process;ex_parte;notice;federal_court;appeal,"CASE DOCS\04.11.25 - NOTICE AND LEGAL ANALYSIS-1.pdf | process Armstrong v. Manzo, 380 U.S. 545, 550, 85 S.Ct. 1187, 14 L.Ed.2d 62 (1965)). While a"
Co. v. Stoot | 530 S.W.2d 930,13,13,0,60,recusal;fraud_perjury;appeal;discovery;law_enforcement,"CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf | 1989) and Southern Pacific Transp. Co. v. Stoot, 530 S.W.2d 930 (Tex."
Ltd. v. JEA | 796 S.W.2d 534,13,1,12,44,notice;jurisdiction;federal_court;appeal;removal_remand,"CASE DOCS\03.28.25 - Notice of Legal Clarification-1.pdf | filing to the defendant. HBA East, Ltd. v. JEA Boxing Co., 796 S.W.2d 534, 537 (Tex. App."
Armentrout v. Murdock | 779 S.W.2d 119,13,13,0,40,recusal;fraud_perjury;appeal;discovery;law_enforcement,"CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf | described in Armentrout v. Murdock, 779 S.W.2d 119 (Tex. App."
Withrow v. Larkin | 421 U.S. 35,13,13,0,40,recusal;fraud_perjury;appeal;discovery;law_enforcement,"CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf | Withrow v. Larkin, 421 U.S. 35, 47 (1975)). That standard is met where, under the"
Gaal v. State | 332 S.W.3d 448,13,0,13,34,law_enforcement;recusal;ex_parte;federal_court;appeal,"RESEARCH\regional_retired_judges.pdf | under Texas Supreme Court rules. Gaal v. State, 332 S.W.3d 448 (Tex. Crim."
In re L.M.I | 119 S.W.3d 707,13,0,13,31,due_process;federal_court;appeal;custody;notice,"RESEARCH\vLex-Vincent-A-litigant-walks-into-a-court-room-on-a-day-it-was-closed-due-to-inclement-weather--because-he-didnt-1.pdf | In re L.M.I., 119 S.W.3d 707 (Tex. 2003)"
Cty. v. McFarland | 499 S.W.3d 888,13,13,0,30,appeal;law_enforcement;notice;hearing;federal_court,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | Sys. (Intl) Ltd. (2016) 499 S.W.3d 888, 895; Angelina Cty. v. McFarland"
Kelly v. Murphy | 630 S.W.2d 759,13,13,0,30,appeal;law_enforcement;notice;hearing;federal_court,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | (Tex. App.--El Paso 2006, no pet.); Kelly v. Murphy, 630 S.W.2d 759, 761"
Srite v. Owens-Illinois | 870 S.W.2d 556,13,13,0,28,recusal;fraud_perjury;appeal;discovery;law_enforcement,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | McCardell, 369 S.W.2d 331, 335 (Tex. 1963); Srite v. Owens-Illinois, Inc., 870 S.W.2d 556, 565"
In re C.H | 89 S.W.3d 17,13,0,13,26,appeal;custody;federal_court;property_financial;law_enforcement,"RESEARCH\BEST INTERESTS.pdf | preserve that right. In re C.H., 89 S.W.3d 17, 26 (Tex.2002). ... Stability and"
Browning v. Placke | 698 S.W.2d 362,13,8,5,24,notice;jurisdiction;federal_court;appeal;hearing,"CASE DOCS\03.20.2025_233-765358-25 EMERGENCY EX-PARTE MOTION TODECLARE JUDGMENT VOID AB INITIO AND FOR IMMEDIATE RE-ENTRY-1.pdf | subject to ordinary procedural bars. Browning v. Placke, 698 S.W.2d 362 (Tex. 1985) (per"
LLC v. Marcus | 751 F.3d 990,13,0,13,24,rico;federal_court;appeal;property_financial;fraud_perjury,"RESEARCH\vLex-Vincent-Charles-was-evicted-from-his-home--deprived-of-marital-funds--and-removed-from-his-business-as-a-dir-1.pdf | E., LLC v. Marcus & Millichap Co., 751 F.3d 990, 997 (9th Cir. 2014). In"
In re Interest | 593 S.W.3d 271,13,0,13,23,notice;temporary_orders;federal_court;associate_judge;appeal,"RESEARCH\OAG IMPROPER ARREARS.pdf | In re Interest of A.L.M.-F., 593 S.W.3d 271 (Tex. 2019)"
In re Shredder | 225 S.W.3d 676,13,10,3,23,appeal;notice;jurisdiction;hearing;federal_court,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | In re Shredder Co., L.L.C., 225 S.W.3d 676, 679 (Tex. App.El Paso 2006, orig."
In re CJO | 46 S.W.3d 237,13,13,0,22,recusal;fraud_perjury;appeal;discovery;law_enforcement,"CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf | Co v Francis, 46 S.W.3d 237, 240 (Tex 2001) (per curiam); In re CJO, 325 S.W.3d"
Wildlife v. Miranda | 133 S.W.3d 217,12,1,11,59,appeal;jurisdiction;property_financial;lockout_eviction;associate_judge,"CASE DOCS\04.24.2025 - PLEA TO THE JURISDICTION-1.pdf | jurisdiction as a matter of law. See Tex. Dept of Parks & Wildlife v. Miranda, 133 S.W.3d 217,"
Rouhana v. Ramirez | 556 S.W.3d 472,12,0,12,48,property_financial;notice;appeal,"RESEARCH\vLex-Vincent-Under-Texas-Rule-of-Civil (1)-1.pdf | Going back to 2018, Rouhana v. Ramirez, 556 S.W.3d 472 (Tex. App. 2018) provides insight into the purpose behind Rule 21a(a)(1), stating that it ""is designed to"
Inc. v. Berchelmann | 945 S.W.2d 872,12,9,3,39,appeal;notice;jurisdiction;hearing;federal_court,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | Care Ctr., Inc. v. Berchelmann, 945 S.W.2d 872, 874 (Tex. App.San Antonio"
Holly v. Adams | 544 S.W.2d 367,12,12,0,38,due_process;ex_parte;notice;jurisdiction;temporary_orders,"CASE DOCS\04.03.24 - Notice of filing Original Proceeding-1.pdf | Holly v. Adams, 544 S.W.2d 367 (1976)...........................28"
Echartea v. Flores | 691 S.W.3d 774,12,0,12,36,property_financial;notice;appeal,"RESEARCH\vLex-Vincent-Under-Texas-Rule-of-Civil (1)-1.pdf | Two different citations to Echartea v. Flores, 691 S.W.3d 774 (Tex. App. 2024) in the materials provide the same interpretation of Rule 21a(a)(1), noting that it"
In re J.A.J | 243 S.W.3d 611,12,7,5,34,appeal;property_financial;custody;protective_order;due_process,"CASE DOCS\04.03.24 - Notice of filing Original Proceeding-1.pdf | In re J.A.J., 243 S.W.3d 611, 616 (Tex. 2007)....................22"
Dist. v. Blue | 34 S.W.3d 547,12,0,12,33,jurisdiction;appeal;property_financial;lockout_eviction;associate_judge,"RESEARCH\vLex-Vincent-A-court-in-Texas-has-1.pdf | Sch. Dist. v. Blue, 34 S.W.3d 547, 554 (Tex. 2000)). In a plea to the jurisdiction, a defendant may challenge the sufficiency of the plaintiff's pleadings to establish"
Co. v. Young | 101 S.W.2d 798,12,12,0,32,fraud_perjury;appeal;discovery;law_enforcement;notice,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | V.D. Anderson Co. v. Young, 101 S.W.2d 798 (Tex. 1937)"
Co. v. Joachim | 315 S.W.3d 860,12,10,2,31,notice;jurisdiction;federal_court;associate_judge;appeal,"CASE DOCS\04.11.25 - NOTICE AND LEGAL ANALYSIS-1.pdf | Co. v. Joachim, 315 S.W.3d 860, 863 (Tex.2010)."
Gillespie v. Gillespie | 644 S.W.2d 449,12,11,1,30,due_process;notice;jurisdiction;appeal;property_financial,"CASE DOCS\04.03.24 - Notice of filing Original Proceeding-1.pdf | Gillespie v. Gillespie, 644 S.W.2d 449, 451(Tex.1982)............22"
In re Stearman | 252 S.W.3d 113,12,4,8,26,recusal;notice;jurisdiction;temporary_orders;lockout_eviction,"CASE DOCS\05.19.25 - 0426 MANDAMUS-1.pdf | proceeding); See also In re Stearman, 252 S.W.3d 113 (Tex. App.Waco 2008,"
Wisdom v. First | 167 F.3d 402,12,0,12,20,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Defendants-made-ongoing-threats-to-Plaintiff--including-threats-of-future-criminal-activity--demonst-1.pdf | Wisdom v. First Midwest Bank, of Poplar Bluff, 167 F.3d 402 (8th Cir. 1999)"
Germain v. Howard | 556 F.3d 261,12,0,12,19,fraud_perjury;custody;federal_court;property_financial;rico,"RESEARCH\vLex-Vincent-Answer-Short-response-While-the-plaintiff-s-allegations--if-proven--could-potentially-satisfy-the-el-1.pdf | conduct, or control of an enterprise.' St. Germain v. Howard, 556 F.3d 261,"
U.S. v. Welch | 656 F.2d 1039,12,0,12,18,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent----A-woman--the-Petitioner--opened-a-private-bank-account--transferred--1-576-from-the-marital-estat-1.pdf | U.S. v. Welch, 656 F.2d 1039 (5th Cir. 1981)"
Longoria v. Garcia | 556 S.W.3d 472,12,0,12,12,property_financial;notice;appeal,"RESEARCH\vLex-Vincent-Under-Texas-Rule-of-Civil (1)-1.pdf | mandatory when applicable. From Rouhana v. Ramirez, 556 S.W.3d 472 (Tex. App. 2018) to De La Fuente Longoria v. Garcia (Tex. App. 2025), Texas courts"
Products v. Strong | 129 S.W.3d 594,12,0,12,12,law_enforcement;recusal;jurisdiction;federal_court;appeal,"RESEARCH\vLex-Vincent-Can-a-judge-be-recused-1.pdf | F.S. New Products v. Strong Industries, 129 S.W.3d 594 (Tex. App. 2003)"
In re Stearns | 202 S.W.3d 414,11,11,0,51,appeal;notice;jurisdiction;hearing;custody,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | In re Stearns, 202 S.W.3d 414 (Tex. App.Houston [14th Dist.] 2006, orig."
In re Stephanie | 411 S.W.3d 445,11,11,0,41,appeal;notice;jurisdiction;hearing;custody,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | In re Stephanie Lee, 411 S.W.3d 445, 450 (Tex. 2013): Court must enforce valid"
O'Neil v. Blake | 86 S.W.3d 538,11,11,0,41,appeal;notice;jurisdiction;hearing;custody,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | O'Neil v. Blake, 86 S.W.3d 538, 541 (Tex. App.Dallas 2002, no pet.): Consent"
In re J.F.C | 96 S.W.3d 256,11,3,8,38,appeal;property_financial;law_enforcement;notice;hearing,"CASE DOCS\05.19.2025_CASE MEMORANDUM-1.pdf | clarified in In re J.F.C., 96 S.W.3d 256, 273 (Tex. 2002), that"
Guillory v. Boykins | 442 S.W.3d 682,11,11,0,36,fraud_perjury;appeal;notice;jurisdiction;hearing,"CASE DOCS\04.23.25 - Notice of Trial Setting-1.pdf | void ab initio. In Guillory v. Boykins, 442 S.W.3d 682, 690 (Tex. App.Houston [1st Dist.]"
In re Sheffield | 639 S.W.2d 270,11,11,0,36,fraud_perjury;appeal;notice;jurisdiction;hearing,"CASE DOCS\04.23.25 - Notice of Trial Setting-1.pdf | petition was filed and noticed. Likewise, In re Sheffield, 639 S.W.2d 270 (Tex. App.Dallas"
Womack v. Berry | 291 S.W.2d 677,11,8,3,35,appeal;notice;hearing;federal_court;property_financial,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | panels denial conflicts with Womack v. Berry, 291 S.W.2d 677 (Tex. 1956), Dal-"
Paraclete v. Does | 204 F.3d 1005,11,1,10,32,law_enforcement;rico;fraud_perjury;federal_court;appeal,"CASE DOCS\09.14.25 - MOTION FOR RECONSIDERATION-1.pdf | injustice (Servants of Paraclete v. Does, 204 F.3d 1005, 1012 (10th Cir. 2000), not in"
In re Lewis | 223 S.W.3d 756,11,11,0,25,appeal;law_enforcement;notice;jurisdiction;hearing,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | remedy"" and the legal equivalent of an equitable injunction (In re Lewis, 223 S.W.3d 756,"
Callahan v. Staples | 458 S.W.3d 532,11,11,0,22,appeal;law_enforcement;notice;jurisdiction;hearing,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | of prosecution. In re Conner, 458 S.W.3d 532 (Tex. 2015) (citing Callahan v. Staples, 139 Tex."
Dancy v. Daggett | 815 S.W.2d 548,11,11,0,22,due_process;ex_parte;notice;jurisdiction;temporary_orders,"CASE DOCS\04.03.24 - Notice of filing Original Proceeding-1.pdf | Dancy v. Daggett, 815 S.W.2d 548, 549 (Tex. 1991) (per curiam)...22"
In re Rocket | 256 S.W.3d 257,11,11,0,22,appeal;notice;jurisdiction;hearing;custody,"CASE DOCS\04.03.24 - EMERGENCY RELIEF - STAY_Redacted_3966607E-1.pdf | the Relators favor. In re Rocket, 256 S.W.3d 257, 262"
Bank-Westwood v. Johnson | 864 S.W.2d 186,11,11,0,21,appeal;law_enforcement;notice;jurisdiction;hearing,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | jurisdiction. Texas Capital Bank-Westwood v. Johnson, 864 S.W.2d 186, 187 (Tex.App.-"
Sears v. Olivarez | 28 S.W.3d 611,11,6,5,20,recusal;appeal;law_enforcement;notice;jurisdiction,"CASE DOCS\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.pdf | 769, 776 (Tex. App.Dallas 2011, no pet.) (quoting Sears v. Olivarez, 28 S.W.3d 611, 615"
Sivley v. Sivley | 972 S.W.2d 850,11,11,0,19,appeal;law_enforcement;notice;jurisdiction;hearing,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | judgment (Sivley v. Sivley, 972 S.W.2d 850, 863, Tex. App.Tyler 1998)."
In re Castle | 189 S.W.3d 400,11,11,0,18,appeal;law_enforcement;notice;jurisdiction;hearing,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | available and adequate (In re Castle Tex. Prod. Ltd. P'ship, 189 S.W.3d 400, 404, Tex."
In re P.M.G | 405 S.W.3d 406,11,11,0,18,fraud_perjury;appeal;notice;jurisdiction;hearing,"CASE DOCS\04.23.25 - Notice of Trial Setting-1.pdf | grant the relief, the order is void. Similarly, In re P.M.G., 405 S.W.3d 406, 41617 (Tex. App."
Corp. v. Garcia | 945 S.W.2d 268,11,0,11,17,fraud_perjury;appeal;law_enforcement;notice;jurisdiction,"RESEARCH\vLex-Vincent--STATE-COMMISSION-ON-JUDICIAL-CONDUCT-HON--KENNETH-NEWELL--DISTRICT-JUDGE-OF-THE-233rd-DISTRICT-COUR-1.pdf | Canon 3B(8) (Safety-Kleen Corp. v. Garcia, 945 S.W.2d 268 (Tex. App."
INC. v. Ditton | 746 F. Supp. 1354,11,0,11,17,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Based-on-the-above--Defendants-Myers-and-Branthoover-have-committed-multiple-RICO-predicate-acts-wir-1.pdf | interests. As P & P MARKETING, INC. v. Ditton, 746 F. Supp. 1354 (N.D. Ill."
States v. Greenberg | 835 F.3d 295,11,1,10,16,law_enforcement;notice;jurisdiction;rico;lockout_eviction,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | scheme to defraud."" As noted in United States v. Greenberg, 835 F.3d 295 (2nd Cir."
Begala v. PNC | 214 F.3d 776,11,0,11,15,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Case-5-24-cv-01311-R-Document-18-Filed-06-30-25-Page-1-of-5-FILED-JUN-3-D-2025-IN-THE-UNITED-STATES--1.pdf | Begala v. PNC Bank, Ohio, N.A., 214 F.3d 776, 781 (6th Cir. 2000). 2. No"
In re Union | 969 S.W.2d 427,11,1,10,15,recusal;jurisdiction;appeal;hearing;mandamus,"CASE DOCS\05.27.25 - MANDAMUS CAYCE_5ACD0433.pdf | emphasized in In re Union Pacific Resources Co., 969 S.W.2d 427 (Tex."
Ltd. v. Cigna | 781 F.3d 182,11,0,11,15,rico;fraud_perjury;federal_court;property_financial;custody,"RESEARCH\vLex-Vincent-Does-traveling-to-Oklahoma-to-prepare-fraudulent-documents-for-submission-in-Texas-state-courts-cons-1.pdf | Ltd. v. Cigna Healthcare, 781 F.3d 182, 201 (5th Cir. 2015) (quotation"
Bus. v. Tex | 852 S.W.2d 440,11,0,11,12,jurisdiction;lockout_eviction;appeal;property_financial;associate_judge,"RESEARCH\Vlex - Parental Rights-1.pdf | 'Standing is implicit in the concept of subject matter jurisdiction.' Tex. Ass'n of Bus. v. Tex. Air Control Bd., 852 S.W.2d 440, 443 (Tex.1993). Because '[s]ubject"
Duffey v. State | 428 S.W.3d 319,11,0,11,12,law_enforcement;recusal;federal_court;appeal;hearing,"RESEARCH\VLEX EVANS-1.pdf | Duffey v. State, 428 S.W.3d 319 (Tex. App. 2014)"
In re Bass | 113 S.W.3d 735,11,11,0,12,appeal;notice;jurisdiction;hearing;injunction,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | by appeal. In re Bass, 113 S.W.3d 735, 738 (Tex. 2003) (orig. proceeding); Walker"
Paso v. Heinrich | 284 S.W.3d 366,10,0,10,56,recusal;fraud_perjury;appeal;notice;jurisdiction,"RESEARCH\vLex-Vincent-1-322-744263-23-IN-THE-322ND-DISTRICT-COURT-OF-TARRANT-COUNTY--TEXAS-ITMOMO--Morgan-Michelle-Myers-P-1-1.pdf | City of El Paso v. Heinrich, 284 S.W.3d 366 (Tex. 2009), establishes that such"
Stump v. Sparkman | 435 U.S. 349,10,0,10,41,jurisdiction;federal_court;appeal;property_financial;civil_rights_1983,"RESEARCH\vLex-Vincent-322-744263-23-IN-THE-322ND-DISTRICT-COURT--OF-TARRANT-COUNTY--TEXAS--Morgan-Michelle-Myers-----------1.pdf | of his or her jurisdiction. Stump v. Sparkman, 435 U.S. 349, 356-57 (1978)"
In re Canales | 113 S.W.3d 56,10,0,10,35,recusal;appeal;law_enforcement;federal_court;property_financial,"RESEARCH\vLex-Vincent--STATE-COMMISSION-ON-JUDICIAL-CONDUCT-HON--KENNETH-NEWELL--DISTRICT-JUDGE-OF-THE-233rd-DISTRICT-COUR-1.pdf | In re Canales, 113 S.W.3d 56 (Tex. 2003)). The pattern of procedural"
Carson v. Gomez | 841 S.W.2d 491,10,3,7,30,appeal;recusal;ex_parte;notice;federal_court,"CASE DOCS\09.05.25 - MOTION TO RECUSE JAMES MUNFORD-1.pdf | 858 (Tex. App. 2006); Carson v. Gomez, 841 S.W.2d 491 (Tex. App. 1992))."
Inc. v. Sawyer | 90 F.3d 118,10,0,10,30,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent----A-woman--the-Petitioner--opened-a-private-bank-account--transferred--1-576-from-the-marital-estat-1.pdf | of Faith World Outreach Center Church, Inc. v. Sawyer, 90 F.3d 118 (5th Cir."
Lamberti v. Tschoepe | 776 S.W.2d 651,10,0,10,25,recusal;appeal;hearing;federal_court;associate_judge,"RESEARCH\vLex-Vincent--I--Introduction-Within-the-last-23-days--four-mandamus-petitions-have-been-docketed-involving-the-s-1.pdf | (Tex. App. 1993); Lamberti v. Tschoepe, 776 S.W.2d 651 (Tex. App. 1989);"
Inc. v. Gable | 782 F.2d 883,10,0,10,23,fraud_perjury;appeal;federal_court;property_financial;rico,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (2)-1.pdf | plaintiffs business or property (Plains Resources, Inc. v. Gable, 782 F.2d 883"
Davis v. Huey | 571 S.W.2d 859,10,9,1,22,recusal;appeal;discovery;law_enforcement;notice,"CASE DOCS\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.pdf | Antonio, 615 S.W.2d 202, 208 (Tex. 1981); Davis v. Huey, 571 S.W.2d 859, 862 (Tex."
Flores v. Banner | 932 S.W.2d 500,10,0,10,22,recusal;notice;jurisdiction;lockout_eviction;federal_court,"RESEARCH\vLex-Vincent-In-Texas,-if-a-party (1)-1.pdf |  74.053(b) (stating that 'the judge shall not hear the case'); Flores v. Banner, 932 S.W.2d 500, 501 (Tex. 1996) (orig. proceeding) (per curiam) ('When a party"
Grannis v. Ordean | 234 U.S. 385,10,9,1,22,recusal;appeal;discovery;law_enforcement;notice,"CASE DOCS\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.pdf | Bays, 355 S.W.3d 715, 720 (Tex. App. 2011); See Grannis v. Ordean, 234 U.S. 385, 394,"
Sav. v. Fox | 718 S.W.2d 2,10,9,1,22,recusal;appeal;discovery;law_enforcement;notice,"CASE DOCS\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.pdf | 1978); Citizens of Texas Sav. v. Fox Jacobs, 718 S.W.2d 2, 3 (Tex. App. 1985). Similarly"
Carter v. Carter | 535 S.W.2d 215,10,10,0,20,fraud_perjury;appeal;notice;jurisdiction;hearing,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | principle has been consistently reaffirmed, as in Carter v. Carter, 535 S.W.2d 215"
Davis v. Huey | 615 S.W.2d 202,10,9,1,19,recusal;appeal;discovery;law_enforcement;notice,"CASE DOCS\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.pdf | Antonio, 615 S.W.2d 202, 208 (Tex. 1981); Davis v. Huey, 571 S.W.2d 859, 862 (Tex."
Robbins v. Wilkie | 300 F.3d 1208,10,0,10,19,fraud_perjury;appeal;jurisdiction;federal_court;property_financial,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (2)-1.pdf | (10th Cir. 2014); Robbins v. Wilkie, 300 F.3d 1208 (10th Cir. 2002)). Here,"
In re V.K | 607 S.W.3d 471,10,0,10,18,due_process;ex_parte;notice;jurisdiction;lockout_eviction,"RESEARCH\REFUSAL TO HEAR TRO.pdf | In re V.K., 607 S.W.3d 471 (Tex. App. 2020) and In re Glenny,"
In re E.C.R | 402 S.W.3d 239,10,0,10,16,appeal;law_enforcement;notice;jurisdiction;custody,"RESEARCH\vLex-Vincent--The-initial-removal-from-the-home-was-done-without-any-evidentiary-hearing--findings-of-fact--or-op-1.pdf | child is removed from a parent. In In re E.C.R., 402 S.W.3d 239 (Tex. 2013),"
West v. Robinson | 486 S.W.3d 669,10,0,10,16,recusal;jurisdiction;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-322-744263-23-IN-THE-322ND-DISTRICT-COURT--OF-TARRANT-COUNTY--TEXAS--Morgan-Michelle-Myers-----------1.pdf | Jun 24, 2021); West v. Robinson, 486 S.W.3d 669 (Tex. App."
Pitts v. Turner | 850 F.2d 650,10,0,10,12,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Case-5-24-cv-01311-R-Document-16-Filed-06-24-25-Page-1-of-45-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-1.pdf | Pitts v. Turner and Boisseau Chartered, 850 F.2d 650 (10th Cir. 1988)"
Gerke v. Kantara | 492 S.W.3d 791,10,0,10,10,notice;jurisdiction;temporary_orders;federal_court;associate_judge,"RESEARCH\vLex-Vincent-In-Texas,-if-a-party (1)-1.pdf | Gerke v. Kantara, 492 S.W.3d 791 (Tex. App. 2016)"
In re Burzynski | 989 F.2d 733,10,0,10,10,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent----The-mother-s-attorney-prepared-the-fraudulent-agreement-and-participated-in-the-scheme-to-deprive-1.pdf | defined term and has two components. In re Burzynski, 989 F.2d 733, 742"
In re K.B | 683 S.W.3d 850,10,0,10,10,due_process;notice;federal_court;appeal;hearing,"RESEARCH\Vlex - Parental Rights-1.pdf | In re K.B., 683 S.W.3d 850 (Tex. App. 2024)"
Mireles v. Waco | 502 U.S. 9,9,0,9,35,jurisdiction;federal_court;appeal;property_financial;law_enforcement,"RESEARCH\vLex-Vincent--Plaintiff-alleges-a-coordinated-scheme-involving-multiple-defendants--Myers--Branthoover--Carter--B-1.pdf | absence of jurisdiction (Mireles v. Waco, 502 U.S. 9, 11-12 (1991)). Court"
